Date,Hour,Temperature,Rainfall
06.04.2023,02,13,0
07.04.2023,02,14,0
08.04.2023,02,14,0
09.04.2023,02,14,0
10.04.2023,02,15,0
11.04.2023,02,15,0
12.04.2023,02,16,0
13.04.2023,02,13,0
14.04.2023,02,12,0
15.04.2023,02,15,0
16.04.2023,02,15,0
17.04.2023,02,14,0
18.04.2023,02,14,0.1
19.04.2023,02,14,0
20.04.2023,02,15,0
21.04.2023,02,15,0
22.04.2023,02,16,0
23.04.2023,02,16,0
24.04.2023,02,15,0
25.04.2023,02,15,0
26.04.2023,02,16,0
27.04.2023,02,17,0
28.04.2023,02,18,0
29.04.2023,02,20,0
30.04.2023,02,18,0.6
01.05.2023,02,17,0
02.05.2023,02,16,0
03.05.2023,02,18,0
04.05.2023,02,18,0
05.05.2023,02,18,0
06.05.2023,02,18,0
07.05.2023,02,19,0
08.05.2023,02,18,0.1
09.05.2023,02,19,0
10.05.2023,02,17,0
11.05.2023,02,17,0.1
12.05.2023,02,15,0.6
13.05.2023,02,13,0
14.05.2023,02,16,0
15.05.2023,02,17,0.1
16.05.2023,02,18,0
17.05.2023,02,17,0
18.05.2023,02,17,0.1
19.05.2023,02,17,0
20.05.2023,02,16,0.8
21.05.2023,02,17,0
22.05.2023,02,18,0
23.05.2023,02,17,0
24.05.2023,02,18,0
25.05.2023,02,18,0.6
26.05.2023,02,16,0
27.05.2023,02,19,0
28.05.2023,02,20,0
29.05.2023,02,20,0
30.05.2023,02,19,0
31.05.2023,02,20,0
01.06.2023,02,20,0
02.06.2023,02,20,0
03.06.2023,02,20,0
04.06.2023,02,20,0
05.06.2023,02,20,0
06.06.2023,02,22,0
07.06.2023,02,22,0
08.06.2023,02,21,0
09.06.2023,02,22,0
10.06.2023,02,23,0
11.06.2023,02,23,0
12.06.2023,02,23,0
13.06.2023,02,23,0
14.06.2023,02,22,0.3
15.06.2023,02,23,0
16.06.2023,02,23,0
17.06.2023,02,24,0
18.06.2023,02,25,0
19.06.2023,02,24,0
20.06.2023,02,23,0
21.06.2023,02,24,0
22.06.2023,02,25,0
23.06.2023,02,24,0
24.06.2023,02,25,0
25.06.2023,02,25,0
26.06.2023,02,26,0
27.06.2023,02,25,0
28.06.2023,02,24,0
29.06.2023,02,25,0
30.06.2023,02,24,1.1
01.07.2023,02,23,0
02.07.2023,02,24,0
03.07.2023,02,24,0
04.07.2023,02,24,0
05.07.2023,02,25,0
06.07.2023,02,23,0
07.07.2023,02,25,0
08.07.2023,02,25,0
09.07.2023,02,25,0
10.07.2023,02,24,0
11.07.2023,02,25,0
12.07.2023,02,25,0
13.07.2023,02,25,0
14.07.2023,02,24,0
15.07.2023,02,26,0
16.07.2023,02,25,0
17.07.2023,02,25,0
18.07.2023,02,25,0
19.07.2023,02,26,0
20.07.2023,02,27,0
